"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that typing in the combobox search filters the available options.
        ","1369","Combobox search filters options","UI","2026-09-13","passed","2026-09-13","Dropdown","Regression","",""
"
        Test clearing iFrame content and typing new text.
        ","1944","Clear and type in iframe","UI","2026-09-13","passed","2026-09-13","iFrame","Regression","",""
"
        Test that refreshing the page changes the displayed content.
        ","4980","Content changes on refresh","UI","2026-09-13","passed","2026-09-13","Dynamic Content","Regression","",""
"
        Test that dragging the item from column A to column C works.
        ","1895","Drag item to column c","UI","2026-09-13","passed","2026-09-13","Drag and Drop","Regression","",""
"
        Test that the instruction text is visible.
        ","853","Instruction text is visible","UI","2026-09-13","passed","2026-09-13","Key Presses","Regression","",""
"
        Test that the notification alert is visible on page load.
        ","1884","Notification alert is visible","UI","2026-09-13","passed","2026-09-13","Notification Messages","Regression","",""
"
        Test that the Dynamic Content heading is visible.
        ","886","Page heading is visible","UI","2026-09-13","passed","2026-09-13","Dynamic Content","Regression","",""
"
        Test that the page heading is visible.
        ","1909","Page heading is visible","UI","2026-09-13","passed","2026-09-13","Exit Intent","Regression","",""
"
        Test that clicking JS Confirm and dismissing it shows the Cancel message.
        ","868","Handle js confirm dismiss","UI","2026-09-13","passed","2026-09-13","JavaScript Alerts","Regression","",""
"
        Test that the notification message is one of the possible messages.
        ","1303","Notification message is valid","UI","2026-09-13","passed","2026-09-13","Notification Messages","Regression","",""
"Test that a large table cell can be targeted by its id.","1389","A large table cell can be targeted by its id.'''","UI","2026-09-13","passed","2026-09-13","Large Deep Dom","Regression","",""
"
        Test that clicking Start Redirect redirects to the destination page.
        ","6524","Redirect to destination page","UI","2026-09-13","passed","2026-09-13","Redirect Link","Regression","",""
"
        Test that multiple new windows can be opened simultaneously.
        ","3368","Multiple new windows can be opened","UI","2026-09-13","passed","2026-09-13","Multiple Windows","Regression","",""
"
        Test that a JavaScript console error is captured when the page loads.
        ","2667","Console error is captured","UI","2026-09-13","passed","2026-09-13","JavaScript onload event error","Regression","",""
"
        Test that the single value slider is visible.
        ","879","Single slider is visible","UI","2026-09-13","passed","2026-09-13","Horizontal Slider","Regression","",""
